PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
pound-force per square inch;psi;unit pound-force according to the Anglo-American system of units divided by the power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 2;NIST Special Publication 811:1995;lbf/in² is also indicated with the abbreviation psi.;lbf/in²;;lbf in⁻²;pound-force per square inch;PS;pound-force per square inch;;0173-1#05-AAA231#004;mechanical tension
gray;Gy;SI derived unit with special name, for which the following relation applies: 1 Gy = 1 J·kg⁻¹  = 1 m²·s⁻²;SI brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;Gy;gray;Gy;gray;A95;gray;;0173-1#05-AAA232#003;absorbed dose
kilogram square millimetre;kg·mm²;product of the SI base kilogram and the  0,001 fold of the power of the SI base metre with the exponent 2;;;kg·mm²;kilogram square millimetre;kg mm²;kilogram square millimetre;F19;;;0173-1#05-AAA233#003;moment of inertia
ampere square metre;A·m²;product out of the SI base unit ampere and the power of the SI base unit metre with the exponent 2;;;A·m²;ampere square metre;A m²;ampere square metre;A5;;;0173-1#05-AAA234#003;magnetic moment
metre per kelvin;m/K;SI base unit metre divided by the SI base unit kelvin;;;m/K;metre per kelvin;m K⁻¹;metre per kelvin;F52;;;0173-1#05-AAA235#003;temperature-based length
micronewton;µN;0,000 001 fold of the SI derived unit newton;;;µN;micronewton;µN;micronewton;B92;;;0173-1#05-AAA236#003;force
cubic metre per minute kelvin;(m³/min)/K;power of the SI base unit metre with the exponent 3 divided by the product out of the unit minute and the SI base unit kelvin;;;m³/(min.K);cubic metre per minute kelvin;m³ min⁻¹ K⁻¹;cubic metre per minute kelvin;G71;;;0173-1#05-AAA238#003;temperature-based volume flow rate
volt second per metre;V·s/m;product of the SI derived unit volt and the SI base unit second divided by the SI base unit metre;;;V·s/m;volt second per metre;V s m⁻¹;volt second per metre;H45;;;0173-1#05-AAA240#004;linear voltage coefficient
kilogram per cubic metre bar;(kg/m³)/bar;SI base unit kilogram divided by the product out of the power of the SI base unit metre with the exponent 3 and the unit bar;;;kg/(m³.bar);kilogram per cubic metre bar;kg m⁻³ bar⁻¹;kilogram per cubic metre bar;G18;;;0173-1#05-AAA241#003;pressure-based density
cubic foot per hour;ft³/h;power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the unit hour;;One foot, measuring 30,48 centimetre, is designated as international foot.;ft³/h;;ft³ h⁻¹;cubic foot per hour;2K;;;0173-1#05-AAA242#003;volume flow rate or volume velocity
square decimetre;dm²;0,01 fold of the power of the SI base unit metre with the exponent 2;;;dm²;square decimetre;dm²;square decimetre;DMK;;;0173-1#05-AAA243#003;surface
newton second;N·s;product of the SI derived unit newton and the SI base unit second;;;N·s;newton second;N s;newton second;C57;;;0173-1#05-AAA244#003;impulse
kilogram per second kelvin;(kg/s)/K;SI base unit kilogram divided by the product out of the SI base unit second and the SI base unit kelvin;;;kg/(s.K);kilogram per second kelvin;kg s⁻¹ K⁻¹;kilogram per second kelvin;F42;;;0173-1#05-AAA245#003;temperature-based mass flow rate
farad per kilometre;F/km;SI derived unit farad divided by the 1000 fold of the SI base unit metre;;;F/km;farad per kilometre;F km⁻¹;farad per kilometre;H33;;;0173-1#05-AAA246#004;permittivity
kibibit per cubic metre;Kibit/m³;1024 fold of the unit bit divided by the power of the SI base unit metre with the exponent 3;;;Kibit/m³;kibibit per cubic metre;Kibit m⁻³;kibibit per cubic metre;E74;;;0173-1#05-AAA247#003;volumic data quantity
millisievert;mSv;0,001 fold of the SI derived unit sievert;;;mSv;millisievert;mSv;millisievert;C28;;;0173-1#05-AAA248#003;dose equivalent
coulomb per kilogram second;C/(kg·s);SI derived unit coulomb divided by the product out of the SI base unit kilogram and the SI base unit second;;;C/(kg·s);coulomb per kilogram second;C kg⁻¹ s⁻¹;coulomb per kilogram second;A31;;;0173-1#05-AAA249#003;exposure rate of ionizing radiation
cubic metre per minute;m³/min;power of the SI base unit metre with the exponent 3 divided by the unit minute;;;m³/min;cubic metre per minute;m³ min⁻¹;cubic metre per minute;G53;;;0173-1#05-AAA250#003;volume flow rate or volume velocity
litre per hour kelvin;(l/h)/K;unit litre divided by the product out of the unit hour and the SI base unit kelvin;;;l/(h.K);litre per hour kelvin;l h⁻¹ K⁻¹;litre per hour kelvin;G66;;;0173-1#05-AAA252#003;temperature-based volume flow rate
gray per second;Gy/s;SI derived unit gray divided by the SI base unit second;DIN 1301-2, ISO 1000;;Gy/s;gray per second;Gy s⁻¹;gray per second;A96;gray per second;;0173-1#05-AAA253#003;absorbed dose rate
millimole per kilogram;mmol/kg;0,001 fold of the SI base unit mol divided by the SI base unit kilogram;;;mmol/kg;millimole per kilogram;mmol kg⁻¹;millimole per kilogram;D87;;;0173-1#05-AAA254#003;ionic strength
joule per mole kelvin;J/(mol·K);SI derived unit joule divided by the product of the SI base unit mol and the SI base unit kelvin;;;J/(mol·K);joule per mole kelvin;J mol⁻¹ K⁻¹;joule per mole kelvin;B16;joule per mole kelvin;;0173-1#05-AAA255#003;molar thermal capacitiy
cubic centimetre per bar;cm³/bar;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the unit bar;;;cm³/bar;cubic centimetre per bar;cm³ bar⁻¹;cubic centimetre per bar;G94;;;0173-1#05-AAA256#003;pressure-based volume
millilitre per cubic metre;ml/m³;0,001 fold of the unit litre divided by the power of the SI base unit metre with the exponent 3;;;ml/m³;milliliter per cubic metre;ml m⁻³;millilitre per cubic metre;H65;;;0173-1#05-AAA257#004;volume fraction
hectopascal;hPa;100 fold of the SI derived unit pascal;;;hPa;hectopascal;hPa;hectopascal;A97;;;0173-1#05-AAA259#003;mechanical tension
reciprocal metre;m⁻¹;reciprocal of the SI base unit metre;DIN 1301-2, ISO 1000;;m⁻¹;reciprocal metre;m⁻¹;reciprocal metre;C92;reciprocal meter;;0173-1#05-AAA260#003;repetency
picohenry;pH;0,000 000 000 001 fold of the SI derived unit henry;;;pH;picohenry;pH;picohenry;C73;;;0173-1#05-AAA261#003;inductance or permeance
cubic metre per second;m³/s;power of the SI base unit metre with the exponent 3 divided by the SI base unit second;DIN 1301-2, ISO 1000;;m³/s;cubic metre per second;m³ s⁻¹;cubic metre per second;MQS;cubic meter per second;;0173-1#05-AAA262#003;volume flow rate or volume velocity
bar litre per second;bar·l/s;product of the unit bar and the unit litre divided by the SI base unit second;;;bar.l/s;bar litre per second;bar l s⁻¹;bar litre per second;F91;;;0173-1#05-AAA263#003;gas leak rate
kilogram per litre;kg/l;SI base unit kilogram divided by the unit litre;;;kg/l;kilogram per litre;kg l⁻¹;kilogram per litre;B35;;;0173-1#05-AAA264#003;density
pound-force per inch;lbf/in;unit of the length related power with the relation according to NIST:1 lbf/in = 175,126 8 N/m;NIST Special Publication 811:1995;;;;;pound-force per inch;F48;pound-force per inch;;0173-1#05-AAA265#003;surface tension
micronewton metre;µN·m;0,000 001 fold of the product out of the derived SI F52 newton and the SI base unit metre;;;µN·m;micronewton metre;µN m;micronewton metre;B93;;;0173-1#05-AAA266#003;torque
microcoulomb per cubic metre;µC/m³;0,000 001 fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 3;;;µC/m³;microcoulomb per cubic metre;µC m⁻³;microcoulomb per cubic metre;B87;;;0173-1#05-AAA267#003;volume density of charge
gigapascal;GPa;1 000 000 000 fold of the SI derived unit pascal;;;GPa;gigapascal;GPa;gigapascal;A89;;;0173-1#05-AAA268#003;mechanical tension
year;year (365 days);31 536 000 fold of the SI base unit second according a common year with 365 days;NIST Special Publication 811:1995;;;;a (365);year;ANN;year (365 days);;0173-1#05-AAA269#003;time
milliweber;mWb;0,001 fold of the SI derived unit weber;;;mWb;milliweber;mWb;milliweber;C33;;;0173-1#05-AAA270#003;magnetic flux
millihenry per kiloohm;mH/kΩ;0,001 fold of the SI derived unit henry divided by the 1000 fold of the SI derived unit ohm;;;mH/kΩ;millihenry per kiloohm;mH kOhm⁻¹;millihenry per kiloohm;H05;;;0173-1#05-AAA271#003;resistance-based inductance
reciprocal day;1/d;reciprocal of the unit day;;;d⁻¹;reciprocal day;d⁻¹;reciprocal day;E91;;;0173-1#05-AAA272#002;frequency
micropascal;µPa;0,000 001 fold of the SI derived unit pascal;;;µPa;micropascal;µPa;micropascal;B96;micropascal;;0173-1#05-AAA273#003;mechanical tension
joule per metre to the fourth power;J/m⁴;SI derived unit joule divided by the power of the SI base unit metre with the exponent 4;;;J/m⁴;joule per metre to the fourth power;J m⁻⁴;joule per metre to the fourth power;B14;;;0173-1#05-AAA274#003;spectral concentration of radiant energy density
nanofarad;nF;0,000 000 001 fold of the SI derived unit farad;;;nF;nanofarad;nF;nanofarad;C41;;;0173-1#05-AAA275#003;capacitance
electronvolt per metre;eV/m;unit electronvolt divided by the SI base unit metre;;;eV/m;electronvolt per metre;eV m⁻¹;electronvolt per metre;A54;;;0173-1#05-AAA276#003;total linear stopping power
gram per cubic metre kelvin;(g/m³)/K;0,001 fold of the SI base unit kilogram divided by the product out of the power of the SI base unit metre with the exponent 3 and the SI base unit kelvin;;;g/(m³.K);gram per cubic metre kelvin;g m⁻³ K⁻¹;gram per cubic metre kelvin;G36;;;0173-1#05-AAA277#003;temperature-based density
cubic centimetre per hour kelvin;(cm³/h)/K;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the unit hour and the SI base unit kelvin;;;cm³/(h.K);cubic centimetre per hour kelvin;cm³ h⁻¹ K⁻¹;cubic centimetre per hour kelvin;G62;;;0173-1#05-AAA278#003;temperature-based volume flow rate
millimetre per degree Celcius metre;mm/(°C·m);0,001 fold of the SI unit metre divided by  the product of the unit degree_Celsius and the SI base unit metre;;;mm/(°C·m);millimetre per degree Celcius metre;mm °C⁻¹ m⁻¹;millimetre per degree Celcius metre;E97;;;0173-1#05-AAA279#003;thermal coefficient of linear expansion
kiloampere;kA;1000 fold of the SI base unit ampere;;;kA;kiloampere;kA;kiloampere;B22;;;0173-1#05-AAA280#003;electric current
cubic centimetre per day bar;(cm³/d)/bar;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the unit day and the unit bar;;;cm³/(d.bar);cubic centimetre per day bar;cm³ d⁻¹ bar⁻¹;cubic centimetre per day bar;G78;;;0173-1#05-AAA281#003;pressure-based volume flow
watt;W;SI derived unit with special name, for which the following relation applies: 1 W = 1 J·s⁻¹  = 1 N·m·s⁻¹ = 1 m²·kg·s⁻³;SI brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;W;watt;W;watt;WTT;watt;;0173-1#05-AAA282#003;active power
tebibyte;Tibyte;1 099 511 627 776 fold of the unit byte;;To avoid confusion with the symbol B for bel, the symbol byte is used - according to IEC 61360-1:2004 and ISO 13584-42:1998, but contrary to IEC 60027-2:2005.;kein Eintrag;tebibyte;Tibyte;tebibyte;E61;;;0173-1#05-AAA283#002;byte data volume
micrometre squared;µm²;0,000 000 000 001 fold of the power of the SI base unit metre with the exponent 2;;;µm²;square micrometre;µm²;micrometre squared;H30;;;0173-1#05-AAA284#004;surface
millilitre per second;ml/s;0,001 fold of the unit litre divided by the SI base unit second;;;ml/s;millilitre per second;ml s⁻¹;millilitre per second;40;;;0173-1#05-AAA285#003;volume flow rate or volume velocity
mole per litre;mol/l;SI base unit mol divided by the unit litre;;;mol/l;mole per litre;mol l⁻¹;mole per litre;C38;;;0173-1#05-AAA286#003;volumic amount of substance
hektopascal cubic metre per second;hPa·m³/s;product out of the 100 fold of the SI unit pascal and the power of the SI base unit metre with the exponent 3 divided by the SI base unit second;;;hPa.m³/s;hektopascal cubic metre per second;hPa m³ s⁻¹;hektopascal cubic metre per second;F94;;;0173-1#05-AAA287#003;gas leak rate
litre per second;l/s;unit litre divided by the SI base unit second;;;l/s;litre per second;l s⁻¹;litre per second;G51;;;0173-1#05-AAA288#003;volume flow rate or volume velocity
pebibit per square metre;Pibit/m²;1 125 899 906 842 624 fold of the unit bit divided by the power of the SI base unit metre with the exponent 2;;;Pibit/m²;pebibit per square metre;Pibit m⁻²;pebibit per square metre;E81;;;0173-1#05-AAA289#003;areic data volume
attofarad;aF;0,000 000 000 000 000 001 fold of the derived SI unit farad;;;aF;attofarad;aF;attofarad;H48;;;0173-1#05-AAA290#004;capacitance
barrel (US);bbl (US);unit of the volume for crude oil according to the Anglo-American system of units with the relation according to NIST: 1 bbl (US petroleum) = 0,158 987 3 m³;NIST Special Publication 811:1995;1 barrel (US) = 42 gallon (US) = 336 pint (US) = 9702 cubic inch = 158,987294928 Liter ≈ 0,136 tons crude oil, 1 barrel (Imp.) = 159,113159869818 litres;;;;barrel (US);BLL;barrel [for petroleum, 42 gallons (U.S.)];;0173-1#05-AAA291#003;volume or section modulus
gram per hour;g/h;0,001 fold of the SI base unit kilogram divided by the unit hour;;;g/h;gram per hour;g h⁻¹;gram per hour;F27;;;0173-1#05-AAA292#003;mass flow rate
kilogram per cubic metre kelvin;(kg/m³)/K;SI base unit kilogram divided by the product out of the power of the SI base unit metre with the exponent 3 and the SI base unit kelvin;;;kg/(m³.K);kilogram per cubic metre kelvin;kg m⁻³ K⁻¹;kilogram per cubic metre kelvin;G40;;;0173-1#05-AAA293#003;temperature-based density
stere;st;cubic measure for wood and common unit at the trade with firewood at which a ''stere'' (cubic metre) corresponds to a cube with sidelength of one metre, also the volume of a cubic metre bedded wood mass, including the spacings in the bedding;NIST Special Publication 811:1995;Stere accords the German cubic metre or ster. The loose cubic metre accords a loosely heaped up amount of wood of one cubic metre. One cubic metre wood without spacing is the solid cubic metre.;;;;stere;G26;stere;;0173-1#05-AAA294#003;volume or section modulus
square millimetre;mm²;0,000 001 fold of the power of the SI base unit metre with the exponent 2;;;mm²;square millimetre;mm²;square millimetre;MMK;square millimeter;;0173-1#05-AAA295#003;surface
microhenry per metre;µH/m;0,000 001 fold of the SI derived unit henry divided by the SI base unit metre;;;µH/m;microhenry per metre;µH m⁻¹;microhenry per metre;B91;;;0173-1#05-AAA296#003;permeability
millipascal second;mPa·s;0,001 fold of the product of the SI derived unit pascal and the SI base unit second;;;mPa·s;millipascal second;mPa s;millipascal second;C24;;;0173-1#05-AAA297#003;dynamic viscosity
millilitre per second bar;(ml/s)/bar;0,001 fold of the unit litre divided by the product out of the SI base unit second and the unit bar;;;ml/(s.bar);millilitre per second bar;ml s⁻¹ bar⁻¹;millilitre per second bar;G93;;;0173-1#05-AAA298#003;pressure-based volume flow
kilogram per kilomol;kg/kmol;SI base unit kilogram divided by the 1000 fold of the SI base unit mol;;;kg/kmol;kilogram per kilomol;kg kmol⁻¹;kilogram per kilomol;F24;;;0173-1#05-AAA299#003;molar mass
ampere hour;A·h;product of the SI base unit ampere and the unit hour;;;A·h;ampere hour;A h;ampere hour;AMH;;;0173-1#05-AAA300#003;battery capacity
kilogram per second;kg/s;SI base unit kilogram divided by the SI base unit second;;;kg/s;kilogram per second;kg s⁻¹;kilogram per second;KGS;kilogram per second;;0173-1#05-AAA301#003;mass flow rate
millivolt;mV;0,001 fold of the SI derived unit volt;;;mV;millivolt;mV;millivolt;2Z;;;0173-1#05-AAA302#003;voltage
metre squared per steradian joule;m²/(sr·J);power of the SI base unit metre with the exponent 2 divided by the product of the SI derived unit steradian and the SI derived unit joule;;;m²/(sr·J);square metre per steradian joule;m² sr⁻¹ J⁻¹;metre squared per steradian joule;D25;;;0173-1#05-AAA303#003;spectral cross-section
milligram;mg;0,000 001 fold of the SI base unit kilogram;;;mg;milligram;mg;milligram;MGM;milligram;;0173-1#05-AAA304#003;mass
milliampere per litre minute;mA/(l·min);0,001 fold of the SI base unit ampere divided by the product of the unit litre  and the unit minute;;;mA/(l·min);milliampere per litre minute;mA l⁻¹ min⁻¹;milliampere per litre minute;G59;;;0173-1#05-AAA305#003;
nanocoulomb;nC;0,000 000 001 fold of the SI derived unit coulomb;;;nC;nanocoulomb;nC;nanocoulomb;C40;;;0173-1#05-AAA306#003;electric charge
kilojoule per mole;kJ/mol;1000 fold of the SI derived unit joule divided by the SI base unit mol;;;kJ/mol;kilojoule per mole;kJ mol⁻¹;kilojoule per mole;B44;;;0173-1#05-AAA307#003;molar thermodynamic energy
becquerel;Bq;SI derived unit with special name, for which the following relation applies: 1 Bq = 1 s⁻¹;;;Bq;becquerel;Bq;becquerel;BQL;becquerel;;0173-1#05-AAA308#003;radioactivity
milligram per litre;mg/l;0,000 001 fold of the SI base unit kilogram divided by the unit litre;;;mg/l;milligram per litre;mg l⁻¹;milligram per litre;M1;;;0173-1#05-AAA309#003;density
litre per second kelvin;(l/s)/K;unit litre divided by the product out of the SI base unit second and the SI base unit kelvin;;;l/(s.K);litre per second kelvin;l s⁻¹ K⁻¹;litre per second kelvin;G68;;;0173-1#05-AAA310#003;temperature-based volume flow rate
millilitre per hour bar;(ml/h)/bar;0,001 fold of the unit litre divided by the product out of the unit hour and the unit bar;;;ml/(h.bar);millilitre per hour bar;ml h⁻¹ bar⁻¹;millilitre per hour bar;G91;;;0173-1#05-AAA311#003;pressure-based volume flow
cubic decimetre per hour;dm³/h;0,001 fold of the power of the SI base unit metre with the exponent 3 divided by the unit hour;;;dm³/h;cubic decimetre per hour;dm³ h⁻¹;cubic decimetre per hour;E92;decimetre cubed per hour;;0173-1#05-AAA312#003;volume flow rate or volume velocity
foot;ft;unit of the length according the Anglo-American and the Imperial system of units with the relation according to NIST:  1 foot = 12 inch = 1/3 yard = 0,304 8 m;NIST Special Publication 811:1995;The international symbol of a unit is today ft for english foot and respectively feet, often also abbreviated with a basic straight quotation mark. Meant for this reason is always the internal foot (''Anglo-Saxon agreement foot'', 1959), which accords to one third of a Yard or twelve international inches.;;;;foot;FOT;foot;;0173-1#05-AAA313#003;distance
reciprocal second per cubic metre;s⁻¹/m³;reciprocal of the SI base unit second divided by the power of the SI base unit metre with the exponent 3;;;s⁻¹/m³;reciprocal second reciprocal cubic metre;s⁻¹ m⁻³;reciprocal second per cubic metre;C98;;;0173-1#05-AAA314#003;slowing-down density
millimetre per kelvin;mm/K;0,001 fold of the SI base unit metre divided by the SI base unit kelvin;;;mm/K;millimetre per kelvin;mm K⁻¹;millimetre per kelvin;F53;;;0173-1#05-AAA316#003;temperature-based length
cubic yard;yd³;power of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 3;NIST Special Publication 811:1995;;;;;cubic yard;YDQ;cubic yard;;0173-1#05-AAA317#003;volume or section modulus
cubic metre per minute bar;(m³/min)/bar;power of the SI base unit metre with the exponent 3 divided by the product out of the unit minute and the unit bar;;;m³/(min.bar);cubic metre per minute bar;m³ min⁻¹ bar⁻¹;cubic metre per minute bar;G88;;;0173-1#05-AAA318#003;pressure-based volume flow
millicoulomb per square metre;mC/m²;0,001 fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 2;;;mC/m²;millicoulomb per square metre;mC m⁻²;millicoulomb per square metre;D89;;;0173-1#05-AAA319#003;areic charge density or electric flux density or electric polarization
henry;H;SI derived unit with special name, for which the following relation applies: 1 H = 1 Wb·A⁻¹ = 1 m²·kg·s⁻²·A⁻²;SI brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;H;henry;H;henry;81;henry;;0173-1#05-AAA320#003;inductance or permeance
coulomb metre;C·m;product out of the SI derived unit coulomb and the SI base unit metre;;;C·m;coulomb metre;C m;coulomb metre;A26;coulomb meter;;0173-1#05-AAA322#003;electric dipole moment
standard atmosphere;atm;out of use and illegal unit of the pressure, that is based on the quantity of the general air pressure at sea level and corresponds with the weight of the pressure, caused by the atmosphere, with the relations: 1 atm = 760 torr = 760 mmHg = 1 013,25 mbar = 101,325 kPa;NIST Special Publication 811:1995;A physical atmosphere is defined as 760 Torr. This corresponds to 101 325 Pa = 1 013,25 hPa = 101,325 kPa.;;;atm;standard atmosphere;ATM;;;0173-1#05-AAA323#004;mechanical tension
volt per inch;V/in;SI derived unit volt divided by the unit inch according to the Anglo-American and the Imperial system of units;;;;;V in⁻¹;volt per inch;H23;;;0173-1#05-AAA324#004;electric field strength
pound (avoirdupois) square foot;lb·ft²;product of the unit pound according to the avoirdupois system of units and the power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 2 with the relation according to NIST: 1 lb·ft²· = 0,04214011 kg·m²;NIST Special Publication 811:1995;The pound (US) corresponds to the pound (avoirdupois), but the conversion factor to the base SI units is rounded according to NIST;lb·ft²;;lb ft²;pound (avoirdupois) square foot;K65;pound foot squared;;0173-1#05-AAA325#004;moment of inertia
gram per litre;g/l;0,001 fold of the SI base unit kilogram divided by the unit litre;;;g/l;gram per litre;g l⁻¹;gram per litre;GL;;;0173-1#05-AAA326#003;density
millicoulomb per kilogram;mC/kg;0,001 fold of the SI derived unit coulomb divided by the SI base unit kilogram;;;mC/kg;millicoulomb per kilogram;mC kg⁻¹;millicoulomb per kilogram;C8;;;0173-1#05-AAA327#003;exposure of ionizing radiation
hektopascal litre per second;hPa·l/s;product out of the 100 fold of the SI derived unit pascal and the unit litre divided by the SI base unit second;;;hPa.l/s;hektopascal litre per second;hPa l s⁻¹;hektopascal litre per second;F93;;;0173-1#05-AAA328#003;gas leak rate
reciprocal second per steradian metre squared;s⁻¹/(sr·m²);reciprocal of the SI base unit second divided by the product of the SI derived unit steradian and the power of the SI base unit metre and te exponent 2;DIN 1301-2, ISO 1000;;s⁻¹/(sr·m²);reciprocal second reciprocal steradian reciprocal square metre;s⁻¹ sr⁻¹ m⁻²;reciprocal second per steradian metre squared;D2;;;0173-1#05-AAA330#003;photon luminance
cubic metre per hour kelvin;(m³/h)/K;power of the SI base unit metre with the exponent 3 divided by the product out of the unit hour and the SI base unit kelvin;;;m³/(h.K);cubic metre per hour kelvin;m³ h⁻¹ K⁻¹;cubic metre per hour kelvin;G70;;;0173-1#05-AAA331#003;temperature-based volume flow rate
milligram per bar;mg/bar;0,000 001 fold of the SI base unit kilogram divided by the unit bar;;;mg/bar;milligram per bar;mg bar⁻¹;milligram per bar;F75;;;0173-1#05-AAA332#003;pressure-based mass
megapascal cubic metre per second;MPa·m³/s;product out of the 1000 000 fold of the SI derived unit pascal and the power of the SI base unit metre with the exponent 3 divided by the SI base unit second;;;MPa.m³/s;megapascal cubic metre per second;MPa m³ s⁻¹;megapascal cubic metre per second;F98;;;0173-1#05-AAA333#003;gas leak rate
lumen second;lm·s;product of the SI derived unit lumen and the SI base unit second;;;lm·s;lumen second;lm s;lumen second;B62;;;0173-1#05-AAA334#003;quantity of light
microcurie;µCi;0,000 001 fold of the derived SI unit curie;;;µCi;microcurie;µCi;microcurie;M5;;;0173-1#05-AAA335#003;radioactivity
kilogram per kelvin;kg/K;SI base unit kilogram divided by the SI base unit kelvin;;;kg/K;kilogram per kelvin;kg K⁻¹;kilogram per kelvin;F15;;;0173-1#05-AAA336#003;temperature-based mass
coulomb per kilogram;C/kg;SI derived unit coulomb divided by the SI base unit kilogram;;;C/kg;coulomb per kilogram;C kg⁻¹;coulomb per kilogram;CKG;coulomb per kilogram;;0173-1#05-AAA337#003;exposure of ionizing radiation
gram per millilitre;g/ml;0,001 fold of the SI base unit kilogram divided by the 0,001 fold of the unit litre;;;g/ml;gram per millilitre;g ml⁻¹;gram per millilitre;GJ;;;0173-1#05-AAA338#003;density
tonne per cubic metre;t/m³;unit tonne divided by the power of the SI base unit metre with the exponent 3;;;t/m³;metric ton per cubic metre;t m⁻³;tonne per cubic metre;D41;;;0173-1#05-AAA339#003;density
watt per steradian square metre;W/(sr·m²);SI derived unit watt divided by the product of the SI derived unit steradian and the power of the SI base unit metre with the exponent 2;;;W/(sr·m²);watt per steradian square metre;W sr⁻¹ m⁻²;watt per steradian square metre;D58;;;0173-1#05-AAA340#003;total radiance
mole per second;mol/s;SI base unit mol divided by the SI base unit second;;;mol/s;mole per second;mol s⁻¹;mole per second;E95;;;0173-1#05-AAA341#003;current of the amount of subtance
cubic metre;m³;power of the SI base unit metre with the exponent 3;DIN 1301-2, ISO 1000;;m³;cubic metre;m³;cubic metre;MTQ;cubic meter;;0173-1#05-AAA342#003;volume or section modulus
milligram per gram;mg/g;0,000 001 fold of the SI base unit kilogram divided by the 0,001 fold of the SI base unit kilogram;;;mg/g;milligram per gram;mg g⁻¹;milligram per gram;H64;;;0173-1#05-AAA343#005;mass fraction
kilopascal;kPa;1000 fold of the SI derived unit pascal;;;kPa;kilopascal;kPa;kilopascal;KPA;kilopascal;;0173-1#05-AAA345#003;mechanical tension
kilomole;kmol;1000 fold of the SI base unit mol;;;kmol;kilomole;kmol;kilomole;B45;;;0173-1#05-AAA346#003;amount of substance
mebibit per cubic metre;Mibit/m³;1 048 576 fold of the unit bit divided by the power of the SI base unit metre with the exponent 3;;;Mibit/m³;mebibit per cubic metre;Mibit m⁻³;mebibit per cubic metre;E77;;;0173-1#05-AAA347#003;volumic data quantity
kelvin metre per watt;K·m/W;product of the SI base unit kelvin and the SI base unit metre divided by the derived SI unit watt;;;K·m/W;kelvin metre per watt;K m W⁻¹;kelvin metre per watt;H35;;;0173-1#05-AAA348#004;thermal resistivity
millilitre per day bar;(ml/d)/bar;0,001 fold of the unit litre divided by the product out of the unit day and the unit bar;;;ml/(d.bar);millilitre per day bar;ml d⁻¹ bar⁻¹;millilitre per day bar;G90;;;0173-1#05-AAA349#003;pressure-based volume flow
hertz;Hz;SI derived unit with special name, for which the following relation applies: 1 Hz = 1 s⁻¹;;;Hz;hertz;Hz;hertz;HTZ;hertz;;0173-1#05-AAA351#003;frequency
ounce (avoirdupois) per cubic yard;oz/yd³;unit ounce  according to the avoirdupois system of units divided by the power of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 3;;;;;;ounce (avoirdupois) per cubic yard;G32;;;0173-1#05-AAA352#003;density
watt per metre;W/m;derived SI unit watt divided by the SI base unit metre;;;;;W m⁻¹;watt per metre;H74;;;0173-1#05-AAA353#005;lineic power
electronvolt square metre;eV·m²;product of the unit electronvolt and the power of the SI base unit metre with the exponent 2;;;eV·m²;electronvolt square metre;eV m²;electronvolt square metre;A55;;;0173-1#05-AAA354#003;atomic stopping power
millibar cubic metre per second;mbar·m³/s;product out of the 0,001 fold of the unit bar and the power of the SI base unit metre with the exponent 3 divided by the SI base unit second;;;mbar.m³/s;millibar cubic metre per second;mbar m³ s⁻¹;millibar cubic metre per second;F96;;;0173-1#05-AAA355#003;gas leak rate
litre per minute;l/min;unit litre divided by the unit minute;;;l/min;litre per minute;l min⁻¹;litre per minute;L2;;;0173-1#05-AAA356#003;volume flow rate or volume velocity
gram per cubic metre;g/m³;0,001 fold of the SI base unit kilogram divided by the power of the SI base unit metre with the exponent 3;;;g/m³;gram per cubic metre;g m⁻³;gram per cubic metre;A93;gram per cubic meter;;0173-1#05-AAA357#003;density
hektopascal per bar;hPa/bar;100 fold of the SI derived unit pascal divided by the unit bar;;;hPa/bar;hektopascal per bar;hPa bar⁻¹;hektopascal per bar;E99;;;0173-1#05-AAA358#003;pressure ratio
pascal second per bar;Pa·s/bar;product out of the SI derived unit pascal and the SI base unit second divided by the unit bar;;;Pa.s/bar;pascal second per bar;Pa s bar⁻¹;pascal second per bar;H07;;;0173-1#05-AAA359#003;pressure-based dynamic viscosity
millinewton metre;mN·m;0,001 fold of the product of the SI derived unit newton and the SI base unit metre;;;mN·m;millinewton metre;mN m;millinewton metre;D83;millinewton meter;;0173-1#05-AAA360#003;torque
reciprocal month;1/mo;reciprocal of the unit month;;;;;Monat⁻¹;reciprocal month;H11;;;0173-1#05-AAA361#003;frequency
millimole per gram;mmol/g;0,001 fold of the SI base unit mol divided by the 0,001 fold of the SI base unit kilogram;;;mmol/g;millimole per gram;mmol g⁻¹;millimole per gram;H68;;;0173-1#05-AAA362#004;ionic strength
